"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart";"Escola Conectada"
"27026493";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Sim"
"27026515";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Não"
"27026540";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Não"
"27026779";"4.1";"Nordeste II";"AL";"Cajueiro";"Sim";"Sim";"Não";;"Não"
"27026817";"4.1";"Nordeste II";"AL";"Cajueiro";"Sim";"Sim";"Não";;"Não"
"27027058";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027104";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027180";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027198";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027236";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027341";"4.1";"Nordeste II";"AL";"Capela";"Sim";"Sim";"Não";;"Não"
"27027759";"4.1";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";;"Não"
"27027830";"4.1";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";;"Não"
"27027929";"4.1";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";;"Não"
"27027937";"4.1";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";;"Não"
"27028437";"4.1";"Nordeste II";"AL";"Jacuípe";"Sim";"Sim";"Não";;"Não"
"27028534";"4.1";"Nordeste II";"AL";"Jacuípe";"Sim";"Sim";"Não";;"Não"
"27028674";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27028682";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27028712";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27028739";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27028810";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27053423";"4.1";"Nordeste II";"AL";"Igreja Nova";"Sim";"Sim";"Não";;"Não"
"27028941";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27028976";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27055094";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27029069";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27029085";"4.1";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";;"Não"
"27029174";"4.1";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";;"Não"
"27042723";"4.1";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";;"Não"
"27029239";"4.1";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";;"Não"
"27029263";"4.1";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";;"Não"
"27029344";"4.1";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";;"Não"
"27029409";"4.1";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";;"Não"
"27043835";"4.1";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";;"Não"
"27029794";"4.1";"Nordeste II";"AL";"Matriz de Camaragibe";"Sim";"Sim";"Não";;"Não"
"27029832";"4.1";"Nordeste II";"AL";"Matriz de Camaragibe";"Sim";"Sim";"Não";;"Não"
"27030113";"4.1";"Nordeste II";"AL";"Messias";"Sim";"Sim";"Não";;"Não"
"27030369";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27030431";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27030440";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27030466";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27030490";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27030555";"4.1";"Nordeste II";"AL";"Murici";"Sim";"Sim";"Não";;"Não"
"27031837";"4.1";"Nordeste II";"AL";"São Luís do Quitunde";"Sim";"Sim";"Não";;"Não"
"27032000";"4.1";"Nordeste II";"AL";"Barra de Santo Antônio";"Sim";"Sim";"Não";;"Não"
"27032116";"4.1";"Nordeste II";"AL";"São Luís do Quitunde";"Sim";"Sim";"Não";;"Não"
"27032299";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27032329";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27032361";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27032396";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27032400";"4.1";"Nordeste II";"AL";"Japaratinga";"Sim";"Sim";"Não";;"Não"
"27032779";"4.1";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";;"Não"
"27032833";"4.1";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";;"Não"
"27032841";"4.1";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";;"Não"
"27032850";"4.1";"Nordeste II";"AL";"Maragogi";"Sim";"Sim";"Não";;"Não"
"27033040";"4.1";"Nordeste II";"AL";"Passo de Camaragibe";"Sim";"Sim";"Não";;"Não"
